Volatility 3 Framework 2.7.0

Offset	Name	Size
0x3da27520	\Windows\explorer.exe	216
0x3da27a60	\Windows\System32\msutb.dll	216
0x3da27bb0	\Windows\System32	216
0x3da31960	\Windows\System32\msimg32.dll	216
0x3da31d50	\Users\Analyst\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2	216
0x3da324c0	\Windows\System32\mtxoci.dll	216
0x3da355a0	\Windows\System32\drmv2clt.dll	216
0x3da35a10	\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb	216
0x3da38dd0	\Windows\System32\Msdtc\MSDTC.LOG	216
0x3da39740	\Windows\System32\en-US\msdtcVSp1res.dll.mui	216
0x3da3b8e0	\Windows\System32\Msdtc\Trace\dtctrace.log	216
0x3da3c070	\Windows\Registration\R000000000006.clb	216
0x3da3cb60	\Windows\System32\en-US\tquery.dll.mui	216
0x3da3da00	\Windows\System32\ucrtbase_clr0400.dll	216
0x3da3ddd0	\Windows\System32\wscui.cpl	216
0x3da3e390	\Windows\System32\dmocx.dll	216
0x3da41070	\Windows\SysWOW64\sxs.dll	216
0x3da41670	\Users\Analyst\AppData\Roaming\Microsoft\Windows\Printer Shortcuts	216
0x3da41bd0	\Windows\SysWOW64\api-ms-win-downlevel-advapi32-l1-1-0.dll	216
0x3da42070	\ProgramData\ggzstcat367	216
0x3da42200	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757	216
0x3da42f20	\Endpoint	216
0x3da45f20	\Windows\System32\usbmon.dll	216
0x3da47610	\Users\Analyst\Desktop\REMA-Tools\x64dbg\release\x32\XEDParse.dll	216
0x3da47760	\Users\Analyst\Desktop\REMA-Tools\x64dbg\release\x32\TitanEngine.dll	216
0x3da47bc0	\Windows\System32\NlsData0007.dll	216
0x3da48370	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell (x86).lnk	216
0x3da48730	\Users\Analyst\AppData\Local\Microsoft\Windows\WER\ReportArchive	216
0x3da48920	\Windows\System32\mshtml.dll	216
0x3da48a70	\Windows\SysWOW64\msls31.dll	216
0x3da48c90	\Winsock2\CatalogChangeListener-204-0	216
0x3da48f20	\Users\Analyst\Desktop\REMA-Tools\x64dbg\release\x32\DeviceNameResolver.dll	216
0x3da49240	\Windows\System32\icaapi.dll	216
0x3da49dd0	\Users\Analyst\Desktop\REMA-Tools\x64dbg\release\x32\jansson.dll	216
0x3da49f20	\Windows\SysWOW64\msimtf.dll	216
0x3da4ab80	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell ISE (x86).lnk	216
0x3da4bcd0	\Windows\SysWOW64\thumbcache.dll	216
0x3da4c5d0	\Windows\System32\wmp.dll	216
0x3da4c720	\Windows\System32\EAPQEC.DLL	216
0x3da4d4d0	\Windows\System32\wermgr.exe	216
0x3da4d930	\Windows\System32\mfc42u.dll	216
0x3da4e660	\Windows\System32\regapi.dll	216
